ID,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil24,Mobil26
10350017,4,5,3,1,1,1,5,5,1,5,1,5,5,5,1,5,5
10350075,3,5,3,4,4,3,5,5,5,4,3,4,5,4,1,2,2
10350085,3,4,4,5,5,1,2,5,5,3,5,4,6,6,6,3,6
10350086,3,4,3,5,2,1,3,5,4,3,5,3,3,3,2,2,2
10350100,3,4,2,5,4,2,4,2,4,4,4,2,5,2,1,1,2
10350125,6,4,2,4,2,2,4,4,4,4,4,2,3,2,2,2,1
10350133,3,4,3,5,5,3,3,5,2,3,3,3,3,4,3,3,3
10350197,2,5,1,4,5,1,4,5,4,5,4,6,6,6,6,1,1
10350199,2,4,6,4,4,1,3,5,3,3,3,5,4,6,6,2,6
10350271,1,1,1,2,4,2,4,5,2,4,2,4,4,2,6,1,6
10350272,6,6,6,6,6,3,3,3,3,3,3,6,6,6,6,6,6
10359998,6,3,6,5,5,6,6,4,3,4,3,6,3,6,6,1,6
10360009,5,4,2,5,5,3,2,5,3,3,4,4,4,3,6,3,3
10360011,2,5,2,5,5,2,4,4,3,4,4,4,2,3,3,2,2
10360013,4,4,2,5,4,2,3,5,4,4,5,5,5,1,1,2,1
10360014,4,4,2,5,4,2,3,5,4,4,3,3,3,1,1,2,1
10360016,6,3,1,5,5,1,3,5,4,4,4,5,5,2,6,1,6
10360023,2,4,3,5,4,2,4,5,3,3,2,3,5,3,3,2,3
10360024,3,3,4,2,5,1,5,5,2,2,2,4,1,5,3,2,4
10360035,1,4,6,5,4,2,4,4,2,2,2,6,5,6,6,2,6
10360095,2,5,2,5,4,2,4,5,4,4,2,4,4,2,1,2,2
10360113,2,4,3,4,4,2,3,4,2,3,4,4,4,6,6,6,6
10360122,4,2,2,5,2,2,4,5,4,4,4,4,4,2,6,1,1
10360139,1,3,1,5,4,1,3,5,4,4,4,5,5,3,6,1,1
10360159,2,5,1,5,5,3,3,4,4,3,4,6,5,2,6,3,6
10360162,6,6,6,4,4,6,5,4,5,1,1,6,4,4,1,1,6
10360177,1,5,1,5,5,1,5,5,3,3,4,5,5,1,1,2,1
10360193,5,4,6,4,5,3,4,5,3,3,4,5,1,4,6,6,6
10360195,6,4,2,4,4,2,4,5,5,6,3,4,4,6,6,6,6
10360196,6,4,2,4,4,2,4,5,5,6,3,4,4,6,6,6,6
10360202,4,4,2,4,4,2,4,4,4,2,4,4,4,2,4,1,1
10360205,2,4,4,5,4,2,4,2,4,4,5,2,4,4,2,4,2
10360212,5,5,1,5,5,1,1,4,4,5,5,3,5,1,1,1,1
10360217,3,5,2,5,2,1,5,4,2,4,4,4,4,4,2,4,2
10360225,4,5,2,4,1,1,5,5,2,5,5,4,4,4,4,2,1
10360235,1,4,3,5,3,1,3,5,4,3,4,5,3,4,1,1,1
10360236,5,2,2,5,5,1,5,5,4,5,5,5,2,4,4,2,4
10360266,5,5,4,5,3,1,4,1,1,4,2,2,1,5,3,2,1
10360283,4,4,4,4,4,5,5,4,4,4,2,4,4,6,3,2,2
10360284,4,5,4,4,4,1,5,4,2,4,2,4,4,6,4,1,2
10360285,2,4,2,4,4,1,3,4,3,4,4,5,2,4,4,4,3
10360286,3,5,2,2,4,4,3,5,2,4,4,4,4,2,2,1,2
10360322,3,5,2,4,5,2,4,5,4,4,4,4,3,4,6,2,6
10360366,1,3,3,4,1,3,3,1,1,3,1,1,3,3,1,6,6
10360414,1,2,1,5,5,3,5,5,4,3,3,4,4,1,1,3,1
10360415,3,4,1,5,4,2,3,5,4,3,4,4,5,1,1,1,1
10360458,4,5,3,5,4,1,2,5,4,4,5,4,5,4,3,4,2
10360460,2,5,2,5,4,2,4,4,2,4,4,3,4,2,2,2,2
10360462,6,5,3,5,6,1,1,5,4,5,5,6,6,6,6,6,6
10360464,3,4,4,4,4,3,4,6,6,6,4,3,3,4,4,4,4
10360465,6,4,4,5,4,2,2,4,4,3,4,4,4,2,2,2,4
10360475,1,5,4,5,5,1,4,4,5,5,4,5,4,2,2,5,2
10360518,2,4,2,5,5,2,5,4,4,3,4,4,6,3,6,2,6
10360519,2,6,2,5,6,1,4,4,4,4,2,4,3,3,6,3,2
10360526,3,3,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4
10360527,3,4,2,5,3,3,4,5,5,3,4,4,5,2,6,4,6
10360532,1,5,3,5,5,1,6,4,3,4,3,5,3,3,1,3,1
10360533,6,5,2,5,5,1,1,5,4,5,3,2,1,2,6,2,2
10360536,4,5,2,4,4,4,4,5,5,4,4,4,4,2,1,1,2
10360564,6,4,3,4,4,1,4,4,3,4,3,5,5,2,1,3,2
10360566,3,5,2,5,5,3,2,5,4,4,4,4,3,3,1,6,2
10360574,3,5,6,5,2,3,2,5,2,3,2,5,5,2,2,2,4
10360575,3,5,3,5,5,4,2,5,2,4,4,5,5,3,4,4,4
10360624,4,5,2,5,3,3,4,6,6,6,3,6,2,5,5,5,3
10360626,2,3,4,4,3,2,3,4,4,3,3,4,3,4,4,3,2
10540009,6,5,6,4,4,1,3,1,2,3,2,6,4,5,3,6,1
10540031,6,6,6,4,5,1,4,5,3,6,3,6,3,4,6,6,6
10540046,6,5,4,5,3,1,5,4,2,3,2,2,5,2,2,2,6
10540063,3,5,2,5,5,2,1,5,5,4,5,5,5,1,1,5,1
10540066,1,4,4,4,4,2,4,5,4,4,4,4,3,4,1,1,2
10540067,1,4,4,4,4,2,4,5,4,4,4,4,3,4,1,1,2
10540128,3,4,2,4,4,3,4,5,4,3,5,5,3,2,1,2,1
10540130,3,5,1,5,3,1,4,4,3,4,3,3,5,1,5,3,1
10540131,3,5,5,5,5,1,3,4,5,3,2,1,2,4,3,3,1
10540168,6,4,3,5,1,3,3,4,4,4,5,5,4,4,6,2,1
10540169,4,4,3,5,6,2,6,5,3,3,4,5,4,4,6,3,1
10540178,4,4,1,5,5,4,6,5,5,5,4,5,6,6,6,1,1
10540184,6,4,2,5,5,1,6,5,3,6,3,6,6,6,6,6,6
10540187,3,3,4,5,4,1,4,5,4,3,4,2,3,4,2,3,4
10540188,4,5,3,4,4,2,2,6,6,6,4,4,5,5,4,4,1
10540199,2,4,1,4,4,3,4,5,3,4,3,3,1,4,5,5,4
10540215,2,4,2,5,5,3,5,4,3,3,3,5,3,2,6,2,6
10540216,2,4,2,5,5,3,4,5,3,3,3,5,3,2,6,2,6
10540237,5,5,3,2,4,1,5,5,2,5,5,3,5,3,3,3,1
10540250,4,4,3,4,4,3,3,4,3,3,4,3,4,4,4,3,4
10540252,2,5,1,5,4,2,3,5,4,6,4,4,4,2,6,2,6
10540260,1,5,3,5,5,1,4,6,6,6,1,3,5,4,5,4,3
10540265,2,5,2,4,4,2,3,3,4,5,4,5,2,3,6,2,1
10540266,1,5,4,4,4,3,3,5,2,5,4,3,4,2,4,2,4
10540269,2,2,2,5,4,2,4,5,3,2,3,4,2,4,6,2,6
10540271,2,4,2,5,5,2,3,4,4,3,3,4,2,6,6,3,6
10540297,2,4,2,5,4,3,3,5,3,4,5,4,4,2,2,3,1
10540298,2,6,6,5,4,2,3,6,6,6,5,4,5,3,3,4,2
10540305,3,1,6,6,4,1,4,5,4,4,4,4,3,4,2,4,2
10540306,3,4,2,4,3,2,3,5,2,4,3,3,4,4,2,4,2
10540335,3,4,4,4,4,2,4,4,4,4,4,4,3,4,3,3,3
10540351,6,4,6,5,5,3,4,5,3,3,3,4,4,3,6,6,6
10540354,2,5,4,5,5,2,5,5,2,5,5,5,2,2,6,1,6
10540384,5,6,2,5,5,3,3,5,4,2,1,5,3,5,6,1,6
10540395,2,5,3,3,4,3,4,4,4,5,4,2,2,4,6,1,6
10540396,4,5,3,2,3,1,5,3,3,3,2,5,3,2,2,2,1
10540514,3,4,1,4,1,2,6,4,4,3,4,4,5,5,2,4,2
10540515,1,5,6,5,5,3,4,4,2,5,2,2,3,4,4,6,1
10540516,2,5,4,4,4,2,4,4,3,5,2,3,1,5,2,4,1
10540517,2,5,4,5,5,1,5,5,6,3,5,5,5,2,2,3,6
10540518,1,4,1,5,5,1,5,5,6,3,5,5,5,2,3,3,6
10540531,6,2,3,5,5,1,5,5,3,4,3,4,4,1,1,2,1
10540532,2,3,3,5,5,2,5,5,5,4,3,4,4,1,1,2,1
10540548,3,4,3,5,4,3,3,4,3,4,3,4,4,3,6,4,3
10540559,4,5,3,5,5,2,4,4,3,4,3,4,3,2,2,2,2
10540560,3,5,3,5,2,3,4,4,2,4,3,5,3,6,1,1,1
10540563,4,3,3,3,4,2,4,4,4,2,2,2,2,4,2,3,2
10540606,6,4,6,5,6,1,5,3,3,5,2,5,6,5,6,1,6
10540647,3,5,3,2,4,1,4,5,4,3,3,4,3,3,3,1,3
10540659,3,2,4,5,5,3,4,5,5,4,4,6,5,3,6,1,6
10540660,3,2,4,5,5,3,4,5,5,4,4,6,5,3,6,1,6
10540672,6,4,6,6,4,6,4,5,3,4,4,4,2,2,2,3,6
10540675,6,4,4,5,2,3,5,5,4,4,2,1,3,5,4,4,5
10540689,2,2,3,5,5,1,2,5,3,2,4,3,3,2,1,2,6
10540691,3,5,2,4,4,1,5,5,5,5,4,4,4,2,2,2,1
10540692,2,5,2,4,5,1,2,5,3,4,5,4,4,1,6,2,6
10540774,2,3,2,5,4,3,4,4,4,4,4,4,3,3,2,2,2
10540803,4,3,2,2,3,4,2,3,2,4,3,4,5,4,4,3,1
10540804,4,4,2,2,4,2,3,4,2,3,3,4,4,4,4,4,1
10540806,3,4,2,4,2,3,3,4,3,4,4,3,3,2,3,2,2
10540807,3,4,2,4,4,2,3,5,1,5,5,5,6,5,3,2,6
10541086,1,1,4,4,4,1,5,4,3,4,2,5,1,5,5,3,5
10980037,2,4,1,4,2,1,4,5,4,2,4,5,4,5,5,5,5
10980079,3,5,5,4,5,1,2,5,2,5,3,4,6,4,4,2,1
10980080,3,5,3,5,4,2,4,4,2,5,3,2,6,5,6,4,2
10980111,4,4,3,4,3,2,4,4,4,3,4,4,3,3,3,2,3
10980195,3,4,4,3,4,2,2,5,4,3,4,5,3,2,1,2,2
10980223,3,4,4,3,4,4,4,3,5,4,4,3,3,5,2,2,3
11460027,3,5,1,5,5,1,4,6,6,6,4,6,4,5,5,5,2
11460028,2,5,2,4,5,1,2,5,5,2,4,4,4,4,2,1,1
11460060,2,4,2,4,4,2,2,4,3,4,3,4,1,4,4,1,1
11460070,3,4,3,3,3,2,3,5,5,3,3,3,4,2,3,3,3
11460082,3,4,6,5,4,2,4,4,3,4,3,3,4,3,6,3,3
14050001,4,5,2,3,4,4,3,5,4,3,4,2,3,4,3,2,1
14050047,2,5,4,4,4,2,4,5,2,3,4,4,5,2,1,1,2
14050075,2,6,4,2,4,2,3,5,4,4,4,2,4,3,2,1,2
14050110,3,3,4,5,5,3,3,5,5,3,5,5,5,3,3,1,1
14050133,4,3,2,2,4,3,3,5,5,4,5,4,3,4,4,4,4
14050134,5,5,3,2,5,1,5,5,4,2,2,2,2,5,5,5,5
14050180,4,4,2,4,4,2,4,5,5,3,3,4,3,2,1,2,2
14050182,2,5,3,4,4,1,3,5,3,4,4,4,4,4,4,1,3
14050186,3,5,1,1,5,2,4,5,5,5,5,2,3,4,4,1,1
14050193,2,5,2,3,5,1,5,4,2,5,1,1,5,2,2,2,1
14050194,5,5,5,2,4,1,4,5,4,5,5,5,5,5,2,4,3
14050226,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,4
14050250,3,5,5,4,4,2,4,1,4,4,1,4,4,1,1,1,3
14050278,1,5,4,4,5,4,5,5,5,4,2,5,4,2,2,1,1
19130012,5,5,1,5,5,1,1,5,5,1,1,5,1,5,1,1,1
19130036,3,5,2,4,5,2,4,4,4,4,2,4,3,3,6,4,2
19130062,2,2,1,4,4,2,2,5,5,2,2,2,2,3,6,2,6
19130080,3,4,6,4,4,4,4,5,4,3,5,5,3,3,6,2,6
19130092,3,6,1,3,4,2,4,5,4,4,3,4,3,2,6,2,3
19130147,1,5,2,2,2,2,5,1,2,5,4,4,2,4,2,3,2
19130148,5,5,6,5,6,1,5,5,6,5,5,5,2,3,2,1,2
19130149,4,5,1,5,5,2,4,5,5,4,2,5,5,5,5,1,2
19130179,3,3,3,4,4,2,4,4,3,4,4,4,2,2,1,2,2
19130202,1,5,1,5,5,1,5,5,4,5,3,5,1,6,6,1,6
19130203,4,2,3,3,3,4,4,4,3,4,2,4,2,4,2,2,3
19130205,4,5,2,2,4,4,5,5,3,5,5,6,6,6,1,6,6
19130206,4,5,1,3,2,1,5,5,5,5,5,6,6,6,6,1,6
19130213,4,2,2,4,4,2,4,4,4,3,3,4,4,2,2,2,4
19130238,6,5,3,4,3,1,4,5,3,4,2,3,2,4,1,3,2
19130252,5,5,2,5,4,1,5,6,6,6,4,2,2,5,5,5,5
19130279,3,4,4,4,2,6,4,4,4,4,4,4,4,6,3,2,3
19130291,2,4,2,4,4,2,4,5,4,2,4,4,2,4,3,1,2
19130292,2,4,2,4,4,2,4,5,4,2,4,4,2,4,3,1,2
19130374,5,4,2,2,4,1,3,5,2,5,4,4,3,5,5,2,1
19130486,4,5,4,1,6,1,6,5,2,5,5,1,5,5,4,2,2
19130578,3,4,2,5,4,2,3,5,5,3,2,2,5,2,4,2,2
19130685,3,5,1,5,5,1,5,5,3,5,5,5,4,4,1,1,3
19130766,3,3,3,5,4,6,6,4,4,3,6,6,4,6,6,2,3
19130767,6,6,2,6,4,6,5,5,5,4,5,6,5,6,6,1,6
19130797,2,5,2,5,4,2,3,5,2,2,4,4,2,4,4,2,1
19130798,3,5,6,3,4,4,2,5,5,4,4,4,3,3,6,2,6
19130827,2,6,3,3,4,1,4,5,5,6,5,5,5,6,6,1,6
19130843,4,5,3,3,4,5,3,5,5,3,5,5,5,2,3,2,4
19130855,4,4,3,3,4,4,3,5,4,4,3,3,4,4,2,2,2
19130863,4,5,3,5,4,3,2,4,4,3,3,5,3,4,3,3,6
19130867,1,5,1,4,5,1,2,5,5,4,5,5,2,1,6,2,1
19130871,3,4,4,4,4,2,4,4,2,4,2,2,4,4,2,2,1
19130883,5,5,6,3,4,2,5,5,4,4,4,6,4,4,3,6,6
19130912,6,6,1,3,3,3,5,4,4,2,5,5,6,6,6,6,6
19130933,6,6,3,3,4,1,1,1,3,1,4,3,1,1,4,4,4
19130963,6,5,1,3,5,3,5,5,2,4,5,6,2,6,6,1,6
19131061,6,6,6,5,5,1,6,5,5,1,6,6,6,6,6,6,6
19610035,4,5,5,3,4,1,5,3,2,5,2,4,4,5,5,5,4
19610100,3,4,1,4,4,1,3,5,4,4,4,5,2,4,6,1,6
19610114,3,4,6,4,4,2,4,4,4,4,4,4,4,4,4,2,2
19610182,3,6,1,5,5,1,4,5,4,2,4,4,4,5,1,2,1
19610191,6,3,5,4,6,1,4,6,6,6,1,2,1,5,4,1,4
19610192,6,3,4,4,6,1,2,4,2,3,2,2,1,5,6,3,4
19610203,3,5,5,6,2,1,5,6,5,5,1,3,1,5,4,3,3
19650022,6,4,6,5,4,1,4,5,3,5,2,2,2,5,5,3,2
19650025,2,4,1,5,5,2,3,5,4,4,4,4,3,4,3,1,4
19650026,2,5,1,4,5,1,4,5,4,4,5,5,5,1,2,1,1
19650035,3,5,2,5,5,4,4,4,2,4,4,4,2,4,6,1,6
19650041,4,4,2,3,3,3,4,5,4,2,5,5,5,1,1,2,4
19650059,3,5,1,1,4,3,4,5,5,2,3,5,5,1,1,1,3
19650071,4,5,3,4,4,3,4,4,4,3,3,4,2,4,2,2,4
19650072,4,5,3,4,4,3,4,4,4,3,4,4,2,4,2,2,4
19650138,3,4,2,4,4,2,2,5,4,3,3,4,4,2,2,5,4
19650139,3,4,2,4,4,2,3,4,3,3,2,4,2,4,2,2,3
19650161,2,4,4,6,2,2,4,5,4,5,4,5,1,2,2,2,4
19650217,3,5,3,4,4,2,2,5,4,3,3,6,4,2,6,1,3
19650218,6,5,2,3,2,1,3,1,2,4,4,6,2,2,6,2,4
19650224,3,4,3,4,4,3,4,4,4,4,4,4,3,3,6,2,4
19650242,6,5,4,5,5,1,5,5,2,5,2,5,2,4,2,2,4
19650257,3,2,4,5,5,1,5,3,3,2,2,4,4,4,4,3,4
19650281,3,5,1,1,4,1,5,5,1,5,1,2,1,4,4,3,5
19650327,4,5,2,1,4,1,5,2,4,5,4,4,5,4,4,4,5
19650328,4,5,4,4,5,4,5,4,4,5,3,3,5,4,2,4,4
19650425,2,4,3,5,5,4,3,5,4,4,4,3,4,3,6,6,4
19650447,3,4,4,2,4,4,4,5,4,4,4,4,4,2,4,4,5
19650448,3,4,4,2,4,4,4,5,4,4,4,4,4,2,4,4,5
19650490,2,2,1,5,5,6,4,4,5,2,4,5,2,5,6,1,2
19650491,1,4,1,4,4,1,4,4,4,3,6,6,2,6,6,1,6
19650511,2,4,2,4,4,1,4,4,4,3,4,4,4,4,2,6,4
19650512,2,4,2,4,2,4,4,4,2,4,4,4,4,4,6,6,6
19650575,1,5,1,5,5,1,5,5,2,4,6,6,5,2,1,2,6
19650586,5,3,2,5,5,3,3,3,5,3,3,6,5,1,1,3,3
19650626,3,4,3,1,4,1,4,3,4,4,2,3,1,4,6,4,6
19650631,4,4,2,3,3,2,4,5,5,3,3,4,4,2,1,3,4
19650656,2,5,2,2,4,2,5,5,4,5,5,4,4,4,1,2,4
19650663,2,5,2,5,3,1,2,5,5,4,5,5,2,2,2,2,4
19650699,4,1,1,5,5,6,6,5,4,3,5,6,6,6,6,1,6
19650700,4,1,1,5,5,6,6,5,4,3,5,6,6,6,6,1,6
19730033,3,5,6,5,4,1,4,5,3,5,4,4,2,3,4,3,5
19730034,3,5,6,5,4,1,4,5,3,5,4,4,2,4,4,3,5
19730078,6,4,6,5,5,1,4,5,2,6,2,1,1,5,5,5,5
19730085,1,5,3,5,2,4,3,4,5,3,4,3,3,4,4,2,1
19730092,4,4,6,5,2,1,5,5,5,2,2,5,5,4,2,1,2
19730119,5,2,5,2,5,4,2,5,4,2,4,5,5,2,2,2,5
19730126,5,4,1,5,3,1,3,5,2,5,3,1,2,5,5,5,5
28000144,6,3,4,5,5,2,5,4,4,3,3,2,3,4,2,3,1
28000244,2,3,3,5,5,3,3,5,3,4,5,4,4,4,5,5,5
28000306,5,4,2,5,5,5,3,5,2,4,4,5,2,4,5,5,5
28000341,5,5,4,2,4,2,4,4,2,4,4,2,4,5,3,5,2
28000344,2,5,3,3,5,2,5,2,2,4,3,2,3,4,6,4,4
28000363,5,1,4,1,4,1,4,5,4,1,4,3,4,4,4,4,5
28000366,4,5,2,2,4,2,4,2,2,4,4,6,3,2,1,1,3
28000367,5,6,4,6,6,6,4,6,6,6,6,6,2,3,3,4,2
28000414,5,6,1,4,4,2,5,1,1,6,1,1,3,5,2,5,4
28000449,4,5,3,2,4,4,4,5,3,5,3,4,6,1,1,1,1
28000450,2,5,2,5,4,4,1,5,5,4,5,5,5,2,3,1,2
28000460,4,4,2,3,4,1,5,2,1,5,2,2,1,5,5,2,1
28000532,3,4,2,2,4,1,3,5,2,3,4,2,2,4,5,5,4
28000646,2,4,2,5,5,1,4,4,3,4,4,3,3,4,4,4,2
28000700,4,5,4,2,2,1,5,4,3,4,3,2,2,4,4,2,4
28000701,6,6,6,4,5,2,5,4,3,4,3,2,4,4,4,4,3
28240008,6,3,2,5,4,6,4,5,4,3,2,3,3,4,6,2,2
28240009,6,4,2,4,4,3,3,4,4,4,4,3,4,2,6,2,6
28240046,3,5,1,5,1,1,6,5,5,2,5,5,1,5,6,1,4
28240110,2,5,5,5,3,1,5,3,2,1,5,5,1,5,1,2,1
28240111,2,5,5,5,3,1,5,3,2,1,5,5,1,5,1,2,1
28240134,4,1,2,5,4,1,4,3,3,3,2,1,2,4,4,5,4
28240158,2,5,2,5,2,1,1,5,2,4,4,2,1,5,4,4,4
28240159,2,5,2,5,2,1,1,5,2,4,4,2,1,5,4,4,4
28240179,4,5,4,2,5,3,5,5,2,5,2,2,2,4,5,2,4
28240201,4,4,5,6,6,1,4,4,4,5,2,4,4,2,5,2,4
28240202,4,5,1,1,3,3,4,4,2,4,4,3,4,4,4,1,1
28240264,5,5,1,5,5,1,5,6,6,6,1,6,2,5,6,5,5
28240270,1,5,3,5,4,2,3,5,4,5,4,4,2,4,5,4,5
28240302,4,3,1,5,4,2,4,5,4,1,3,3,1,5,1,3,4
28240303,3,5,2,2,4,4,2,4,4,4,4,4,4,2,3,6,2
28240317,4,5,4,5,4,2,3,5,4,4,2,2,2,4,6,2,4
28240354,2,4,2,2,5,1,5,5,4,4,5,5,4,2,1,1,1
28240376,6,5,4,2,4,3,5,4,4,4,2,4,4,4,2,4,4
28240378,3,3,3,4,4,2,4,4,2,3,2,3,2,4,3,2,3
28240382,1,4,1,4,5,1,5,4,3,4,3,2,4,4,2,3,1
28240476,6,4,6,3,5,3,3,5,4,3,4,3,6,6,6,6,6
28240485,3,3,3,3,3,1,1,5,5,6,3,3,3,5,6,3,3
28240515,1,3,5,5,5,1,5,5,1,1,1,5,1,5,5,5,4
28240517,2,4,1,5,5,3,4,4,3,4,3,4,1,4,4,1,1
28240523,3,5,1,4,4,1,5,4,2,3,4,3,3,4,3,3,2
28240632,2,5,3,2,2,1,4,5,2,5,2,5,2,5,4,5,4
28240692,2,4,2,2,4,2,2,4,4,2,4,2,4,6,6,2,6
28240755,3,3,2,4,4,2,3,4,2,4,4,4,2,3,2,2,3
28240756,2,5,2,2,2,2,4,4,3,4,4,3,3,3,4,2,4
28240762,3,4,1,1,5,5,3,5,4,3,5,6,6,6,6,1,1
28240797,4,5,2,5,5,2,4,4,2,4,3,3,4,4,4,3,2
28240798,4,5,2,5,5,2,4,4,2,4,3,3,4,4,4,3,2
28240830,3,5,3,5,4,5,3,5,4,3,5,6,4,3,6,1,6
28240945,3,6,2,4,4,6,6,4,4,4,6,4,4,3,4,6,4
28240955,5,4,3,5,5,3,2,5,5,3,5,5,5,1,1,1,1
28240965,4,2,1,2,5,1,5,5,5,4,2,1,2,5,5,4,4
28240969,1,5,3,5,5,1,3,5,5,5,5,5,5,2,3,1,4
28240970,3,5,2,2,5,4,4,5,5,2,4,4,4,4,4,6,3
28240993,5,2,3,5,4,2,4,4,4,2,3,2,4,2,1,1,4
28240997,3,4,1,4,4,2,4,3,1,2,1,2,1,4,4,2,4
28241047,2,5,5,5,5,5,3,4,3,5,5,5,5,3,5,5,2
28241048,5,4,4,5,5,1,5,5,3,4,4,3,4,3,4,5,5
28241131,1,4,6,4,4,1,3,4,2,4,4,4,6,2,3,1,4
28241132,2,4,6,2,4,1,3,5,4,4,4,4,2,2,1,1,1
28241228,3,3,3,4,4,2,5,4,4,5,2,3,2,4,4,2,4
28241229,3,3,4,2,4,2,3,4,4,4,2,3,2,4,4,2,5
28241260,2,4,1,5,4,1,3,6,6,6,3,6,2,5,4,5,2
28241261,3,4,3,3,6,3,4,3,2,4,3,4,6,4,4,3,1
28241263,3,6,6,5,5,1,5,6,6,6,3,6,2,5,5,5,4
28420015,6,6,6,3,6,3,3,4,4,3,4,4,4,6,6,3,6
28420050,3,3,4,5,2,2,4,4,1,3,3,3,5,2,3,2,4
28420051,3,2,3,1,2,3,2,4,4,4,4,4,4,5,2,4,4
28420052,1,4,4,2,5,1,3,5,4,3,2,3,1,5,4,2,1
28420056,3,5,2,4,5,3,4,4,3,4,3,4,4,3,3,3,4
28420152,3,4,4,3,4,2,4,4,3,3,4,4,4,4,3,2,2
28420153,2,3,3,2,4,3,4,4,3,4,3,4,4,4,3,2,2
28420168,4,4,4,5,5,1,3,5,4,3,1,2,2,5,4,2,4
28420282,2,4,2,4,4,2,2,5,5,5,4,4,2,2,1,2,2
28420388,4,4,2,4,4,2,4,4,2,4,4,4,2,4,4,4,4
28630053,2,6,3,5,4,1,5,4,3,3,2,2,3,4,6,3,3
28630054,2,6,4,5,4,1,5,4,3,4,1,5,4,4,3,4,2
28630101,6,6,5,2,5,6,5,5,5,5,5,5,1,5,6,6,4
28630155,2,4,4,4,4,2,4,4,4,4,4,2,4,4,1,3,2
28640075,3,4,2,1,4,4,2,5,4,4,4,5,2,4,4,2,4
28640112,4,2,4,5,2,1,5,5,1,3,1,5,2,5,3,4,3
28640121,5,6,6,5,5,1,5,4,4,4,4,5,4,4,3,1,3
28640122,5,6,6,5,5,1,5,4,4,4,4,5,4,4,3,1,3
28640182,6,5,6,6,6,6,6,4,4,4,4,4,4,2,5,2,5
30330009,2,5,2,5,2,1,5,5,2,5,3,1,2,4,2,4,1
30330035,5,6,3,5,2,1,4,4,1,5,2,2,1,5,5,5,4
30330069,4,4,5,5,5,1,3,5,3,5,1,4,1,5,4,4,4
30330149,6,4,3,6,4,2,4,5,2,5,3,3,2,4,4,3,4
30330170,3,5,5,5,2,1,5,5,4,5,3,2,1,5,4,5,1
30330171,3,5,5,1,3,3,5,2,1,5,3,1,1,4,4,4,3
30330172,3,5,5,1,3,2,5,3,1,5,3,2,1,4,4,4,3
30330179,6,5,4,3,3,3,4,5,2,3,3,6,3,4,4,4,4
30330216,3,5,2,2,3,3,3,4,2,3,5,3,3,2,2,3,1
30330237,3,3,1,1,4,1,4,4,3,4,2,4,2,4,4,2,2
30330238,4,3,2,2,4,1,4,4,3,4,3,3,4,4,3,4,3
30330301,3,4,3,3,4,4,2,4,3,4,4,6,2,4,4,3,2
30330302,3,4,3,3,4,4,2,4,3,4,4,6,2,4,4,3,2
30330327,3,5,3,2,4,3,6,5,2,5,2,4,3,4,3,5,2
30330353,4,5,2,5,2,2,5,3,1,5,4,2,5,4,2,4,2
30330355,1,5,4,2,5,2,2,5,3,5,4,2,1,2,6,5,1
30330369,4,6,4,2,3,2,4,4,2,4,3,3,2,3,3,4,2
30330370,4,3,4,4,4,2,4,4,4,4,2,2,2,4,3,2,3
